Swedish,English
tydligen,apparently
kontakt,Contact
farligt,Dangerous
alldeles,Right
omöjligt,impossible
träffar,hits
e,e
höger,Right
världens,The world
spel,game
mål,goal
låtsas,pretend
glömma,forget
välja,select
känslor,feelings
kallade,called
förlorat,lost
fader,Father
pa,Pa
ändra,change
leder,joints
kung,King
lovade,promised
sov,sleeping
året,the year
sticka,knit
svarta,Blacks
paul,Paul
fantastisk,fantastic
högt,high
henry,Henry
